| GSM855954 | 232587_at                   | 47.5      |
| GSM855958 | 232592_at                   | 49.6      |
| GSM855959 | 232592_at                   | 217.2     |
| GSM855960 | 232592_at                   | 24.8      |
| GSM855961 | 232592_at                   | 68.1      |
| GSM855962 | 232592_at                   | 13.5      |
| GSM855963 | 232592_at                   | 44        |
| GSM855964 | 232592_at                   | 40.3      |
| GSM855965 | 232592_at                   | 111.1     |
| GSM855942 | 232593_at                   | 19.1      |
| GSM855943 | 232593_at                   | 30.1      |
| GSM855944 | 232593_at                   | 13.8      |
| GSM855945 | 232593_at                   | 52.2      |
| GSM855947 | 232593_at                   | 36.3      |
| GSM855957 | 232593_at                   | 20.4      |
| GSM855966 | 232593_at                   | 35.1      |
| GSM855967 | 232593_at                   | 95.2      |
| GSM855968 | 232593_at                   | 32.2      |^C| GSM855968 | 232593_at                   | 32.2      |
Ctrl-C -- sending "KILL QUERY 288" to server ...
Ctrl-C -- query aborted.

+-----------+-----------------------------+-----------+
1428354 rows in set (2.08 sec)

mysql> SELECT experiment_id, source  FROM sample;    
ERROR 1317 (70100): Query execution was interrupted
mysql> SELECT experiment_id, source  FROM samples;
ERROR 1146 (42S02): Table 'fmacfarlane.samples' doesn't exist
mysql> show table;                                
ERROR 1064 (42000): You have an error in your SQL syntax; check the manual that corresponds to your MySQL server version for the right syntax to use near '' at line 1
mysql> show tables;
+-----------------------+
| Tables_in_fmacfarlane |
+-----------------------+
| data4                 |
| expression2           |
| gene                  |
| probe                 |
| sample                |
| sequence              |
+-----------------------+
6 rows in set (0.01 sec)

mysql> SELECT experiment_id, source  FROM TABLE sample;
ERROR 1064 (42000): You have an error in your SQL syntax; check the manual that corresponds to your MySQL server version for the right syntax to use near 'TABLE sample' at line 1
mysql> describe sample;                                                        
+---------------+-------------+------+-----+---------+-------+
| Field         | Type        | Null | Key | Default | Extra |
+---------------+-------------+------+-----+---------+-------+
| experiment_id | varchar(30) | YES  |     | NULL    |       |
| source        | varchar(30) | YES  |     | NULL    |       |
+---------------+-------------+------+-----+---------+-------+
2 rows in set (0.00 sec)

mysql> SELECt experiment_id FROM sample;
+---------------+
| experiment_id |
+---------------+
| GSM855942     |
| GSM855943     |
| GSM855944     |
| GSM855945     |
| GSM855947     |
| GSM855957     |
| GSM855966     |
| GSM855967     |
| GSM855968     |
| GSM855946     |
| GSM855948     |
| GSM855949     |
| GSM855950     |
| GSM855951     |
| GSM855952     |
| GSM855953     |
| GSM855954     |
| GSM855955     |
| GSM855956     |
| GSM855958     |
| GSM855959     |
| GSM855960     |
| GSM855961     |
| GSM855962     |
| GSM855963     |
| GSM855964     |
| GSM855965     |
+---------------+
27 rows in set (0.00 sec)

mysql> ALTER TABLE gene ADD gene_id PRIMARY KEY
    -> ;
ERROR 1064 (42000): You have an error in your SQL syntax; check the manual that corresponds to your MySQL server version for the right syntax to use near 'PRIMARY KEY' at line 1
mysql> ALTER TABLE gene ADD PRIMARY KEY;
ERROR 1064 (42000): You have an error in your SQL syntax; check the manual that corresponds to your MySQL server version for the right syntax to use near '' at line 1
mysql> ALTER TABLE gene ADD gene-id INT AUTO_INCREMENT PRIMARY KEY;
ERROR 1064 (42000): You have an error in your SQL syntax; check the manual that corresponds to your MySQL server version for the right syntax to use near '-id INT AUTO_INCREMENT PRIMARY KEY' at line 1
mysql> ALTER TABLE gene ADD gene_id INT AUTO_INCREMENT PRIMARY KEY;
ERROR 1060 (42S21): Duplicate column name 'gene_id'
mysql> ALTER TABLE gene ADD gene_id INT PRIMARY KEY;
ERROR 1060 (42S21): Duplicate column name 'gene_id'
mysql> ALTER TABLE gene ALTER  gene_id PRIMARY KEY;
ERROR 1064 (42000): You have an error in your SQL syntax; check the manual that corresponds to your MySQL server version for the right syntax to use near 'PRIMARY KEY' at line 1
mysql> ALTER TABLE gene ALTER  gene_id INT PRIMARY KEY;
ERROR 1064 (42000): You have an error in your SQL syntax; check the manual that corresponds to your MySQL server version for the right syntax to use near 'INT PRIMARY KEY' at line 1
mysql> ALTER TABLE gene | ADD PRIMARY KEY
    -> ;
ERROR 1064 (42000): You have an error in your SQL syntax; check the manual that corresponds to your MySQL server version for the right syntax to use near '| ADD PRIMARY KEY' at line 1
mysql> ALTER TABLE gene | ADD gene_id PRIMARY KEY;
ERROR 1064 (42000): You have an error in your SQL syntax; check the manual that corresponds to your MySQL server version for the right syntax to use near '| ADD gene_id PRIMARY KEY' at line 1
mysql> ALTER TABLE gene ADD gene_id INT UNSIGNED NOT NULL AUTO_INCREMENT, ADD PRIMARY KEY (gene_id);
ERROR 1060 (42S21): Duplicate column name 'gene_id'
mysql> ALTER TABLE gene ALTER  gene_id INT UNSIGNED NOT NULL AUTO_INCREMENT, ADD PRIMARY KEY (gene_id);
ERROR 1064 (42000): You have an error in your SQL syntax; check the manual that corresponds to your MySQL server version for the right syntax to use near 'INT UNSIGNED NOT NULL AUTO_INCREMENT, ADD PRIMARY KEY (gene_id)' at line 1
mysql> ALTER TABLE gene DROP PRIMARY KEY;
ERROR 1091 (42000): Can't DROP 'PRIMARY'; check that column/key exists
mysql> ALTER TABLE gene ADD PRIMARY KEY (gene_id);
ERROR 1062 (23000): Duplicate entry 'cytochrome P450, family 2, sub' for key 'PRIMARY'
mysql> ALTER TABLE gene ADD PRIMARY KEY(gene_id);
ERROR 1062 (23000): Duplicate entry 'cytochrome P450, family 2, sub' for key 'PRIMARY'
mysql> describe gene                             
    -> ;
+-------------+-------------+------+-----+---------+-------+
| Field       | Type        | Null | Key | Default | Extra |
+-------------+-------------+------+-----+---------+-------+
| gene_title  | varchar(30) | NO   |     | NULL    |       |
| gene_symbol | varchar(30) | NO   |     | NULL    |       |
| gene_id     | varchar(30) | NO   |     | NULL    |       |
+-------------+-------------+------+-----+---------+-------+
3 rows in set (0.00 sec)

mysql> alter table gene add primary key(gene_id);
ERROR 1062 (23000): Duplicate entry 'cytochrome P450, family 2, sub' for key 'PRIMARY'
mysql> alter table gene add primary key (gene_id);
ERROR 1062 (23000): Duplicate entry 'cytochrome P450, family 2, sub' for key 'PRIMARY'
mysql> ALTER TABLE gene MODIFY gene_id varchar(30)NOT NULL;
Query OK, 0 rows affected (0.01 sec)
Records: 0  Duplicates: 0  Warnings: 0

mysql> describe gene
    -> ;
+-------------+-------------+------+-----+---------+-------+
| Field       | Type        | Null | Key | Default | Extra |
+-------------+-------------+------+-----+---------+-------+
| gene_title  | varchar(30) | NO   |     | NULL    |       |
| gene_symbol | varchar(30) | NO   |     | NULL    |       |
| gene_id     | varchar(30) | NO   |     | NULL    |       |
+-------------+-------------+------+-----+---------+-------+
3 rows in set (0.00 sec)

mysql> ALTER TABLE gene ADD PRIMARY KEY (gene_id);
ERROR 1062 (23000): Duplicate entry 'cytochrome P450, family 2, sub' for key 'PRIMARY'
mysql> describe probe;
+---------+-------------+------+-----+---------+-------+
| Field   | Type        | Null | Key | Default | Extra |
+---------+-------------+------+-----+---------+-------+
| id_ref  | varchar(30) | NO   |     | NULL    |       |
| gene_id | varchar(30) | NO   |     | NULL    |       |
+---------+-------------+------+-----+---------+-------+
2 rows in set (0.00 sec)

mysql> ALTER TABLE probe  ADD PRIMARY KEY (id_ref);
Query OK, 52902 rows affected (1.21 sec)
Records: 52902  Duplicates: 0  Warnings: 0

mysql> describe probe;
+---------+-------------+------+-----+---------+-------+
| Field   | Type        | Null | Key | Default | Extra |
+---------+-------------+------+-----+---------+-------+
| id_ref  | varchar(30) | NO   | PRI | NULL    |       |
| gene_id | varchar(30) | NO   |     | NULL    |       |
+---------+-------------+------+-----+---------+-------+
2 rows in set (0.00 sec)

mysql> describe expression2;                       
+-----------------+-------------+------+-----+---------+-------+
| Field           | Type        | Null | Key | Default | Extra |
+-----------------+-------------+------+-----+---------+-------+
| id_ref          | varchar(30) | YES  |     | NULL    |       |
| gene_expression | varchar(30) | NO   |     | NULL    |       |
| sample_id       | varchar(30) | NO   |     | NULL    |       |
+-----------------+-------------+------+-----+---------+-------+
3 rows in set (0.00 sec)

mysql> ALTER TABLE expression2 MODIFY id_ref varchar(30)NOT NULL;
Query OK, 1428354 rows affected (1.53 sec)
Records: 1428354  Duplicates: 0  Warnings: 0

mysql> describe expression2;
+-----------------+-------------+------+-----+---------+-------+
| Field           | Type        | Null | Key | Default | Extra |
+-----------------+-------------+------+-----+---------+-------+
| id_ref          | varchar(30) | NO   |     | NULL    |       |
| gene_expression | varchar(30) | NO   |     | NULL    |       |
| sample_id       | varchar(30) | NO   |     | NULL    |       |
+-----------------+-------------+------+-----+---------+-------+
3 rows in set (0.01 sec)

mysql> ALTER TABLE expression2 ADD PRIMARY KEY (id_ref);
ERROR 1062 (23000): Duplicate entry 'GSM855942' for key 'PRIMARY'
mysql> ALTER TABLE expression2  ADD PRIMARY KEY (id_ref);
ERROR 1062 (23000): Duplicate entry 'GSM855942' for key 'PRIMARY'
mysql> 
mysql> ALTER TABLE expression2 ADD PRIMARY KEY (id_ref);
ERROR 1062 (23000): Duplicate entry 'GSM855942' for key 'PRIMARY'
mysql> ALTER TABLE expression2 ADD PRIMARY KEY (sample_id);
ERROR 1062 (23000): Duplicate entry '109.1' for key 'PRIMARY'
mysql> describe expression2;
+-----------------+-------------+------+-----+---------+-------+
| Field           | Type        | Null | Key | Default | Extra |
+-----------------+-------------+------+-----+---------+-------+
| id_ref          | varchar(30) | NO   |     | NULL    |       |
| gene_expression | varchar(30) | NO   |     | NULL    |       |
| sample_id       | varchar(30) | NO   |     | NULL    |       |
+-----------------+-------------+------+-----+---------+-------+
3 rows in set (0.01 sec)

mysql> describe sample;
+---------------+-------------+------+-----+---------+-------+
| Field         | Type        | Null | Key | Default | Extra |
+---------------+-------------+------+-----+---------+-------+
| experiment_id | varchar(30) | YES  |     | NULL    |       |
| source        | varchar(30) | YES  |     | NULL    |       |
+---------------+-------------+------+-----+---------+-------+
2 rows in set (0.00 sec)

mysql> ALTER TABLE sample  MODIFY experiment_id varchar(30)NOT NULL;
Query OK, 27 rows affected (0.00 sec)
Records: 27  Duplicates: 0  Warnings: 0

mysql> describe sample;
+---------------+-------------+------+-----+---------+-------+
| Field         | Type        | Null | Key | Default | Extra |
+---------------+-------------+------+-----+---------+-------+
| experiment_id | varchar(30) | NO   |     | NULL    |       |
| source        | varchar(30) | YES  |     | NULL    |       |
+---------------+-------------+------+-----+---------+-------+
2 rows in set (0.00 sec)

mysql> ALTER TABLE sample ADD PRIMARY KEY (experiment_id);
Query OK, 27 rows affected (0.01 sec)
Records: 27  Duplicates: 0  Warnings: 0

mysql> describe sample;
+---------------+-------------+------+-----+---------+-------+
| Field         | Type        | Null | Key | Default | Extra |
+---------------+-------------+------+-----+---------+-------+
| experiment_id | varchar(30) | NO   | PRI | NULL    |       |
| source        | varchar(30) | YES  |     | NULL    |       |
+---------------+-------------+------+-----+---------+-------+
2 rows in set (0.01 sec)

mysql> ALTER TABLE expression2 ADD PRIMARY KEY (sample_id);
ERROR 1062 (23000): Duplicate entry '109.1' for key 'PRIMARY'
mysql> ALTER TABLE expression2 ADD PRIMARY KEY (id_ref);
ERROR 1062 (23000): Duplicate entry 'GSM855942' for key 'PRIMARY'
mysql> describe gene;                                   
+-------------+-------------+------+-----+---------+-------+
| Field       | Type        | Null | Key | Default | Extra |
+-------------+-------------+------+-----+---------+-------+
| gene_title  | varchar(30) | NO   |     | NULL    |       |
| gene_symbol | varchar(30) | NO   |     | NULL    |       |
| gene_id     | varchar(30) | NO   |     | NULL    |       |
+-------------+-------------+------+-----+---------+-------+
3 rows in set (0.00 sec)

mysql> ALTER TABLE gene ADD PRIMARY KEY (gene_id);
ERROR 1062 (23000): Duplicate entry 'cytochrome P450, family 2, sub' for key 'PRIMARY'
mysql> describe expression2;                              
+-----------------+-------------+------+-----+---------+-------+
| Field           | Type        | Null | Key | Default | Extra |
+-----------------+-------------+------+-----+---------+-------+
| id_ref          | varchar(30) | NO   |     | NULL    |       |
| gene_expression | varchar(30) | NO   |     | NULL    |       |
| sample_id       | varchar(30) | NO   |     | NULL    |       |
+-----------------+-------------+------+-----+---------+-------+
3 rows in set (0.00 sec)

mysql> ALTER TABLE expression2 ADD PRIMARY KEY (id_ref);
ERROR 1062 (23000): Duplicate entry 'GSM855942' for key 'PRIMARY'
mysql> ALTER TABLE expression2 ADD PRIMARY KEY (sample_id);
ERROR 1062 (23000): Duplicate entry '109.1' for key 'PRIMARY'
mysql> describe gene;
+-------------+-------------+------+-----+---------+-------+
| Field       | Type        | Null | Key | Default | Extra |
+-------------+-------------+------+-----+---------+-------+
| gene_title  | varchar(30) | NO   |     | NULL    |       |
| gene_symbol | varchar(30) | NO   |     | NULL    |       |
| gene_id     | varchar(30) | NO   |     | NULL    |       |
+-------------+-------------+------+-----+---------+-------+
3 rows in set (0.01 sec)

mysql> ALTER TABLE gene ADD PRIMARY KEY (gene_id);
ERROR 1062 (23000): Duplicate entry 'cytochrome P450, family 2, sub' for key 'PRIMARY'
mysql> ALTER TABLE gene ADD PRIMARY KEY (gene_title);
ERROR 1062 (23000): Duplicate entry '5594' for key 'PRIMARY'
mysql> helpe PRIMARY KEY                             
    -> help PRIMARY KEY;
ERROR 1064 (42000): You have an error in your SQL syntax; check the manual that corresponds to your MySQL server version for the right syntax to use near 'helpe PRIMARY KEY
help PRIMARY KEY' at line 1
mysql>  help PRIMARY KEY;

Nothing found
Please try to run 'help contents' for a list of all accessible topics

mysql> help;

For information about MySQL products and services, visit:
   http://www.mysql.com/
For developer information, including the MySQL Reference Manual, visit:
   http://dev.mysql.com/
To buy MySQL Enterprise support, training, or other products, visit:
   https://shop.mysql.com/

List of all MySQL commands:
Note that all text commands must be first on line and end with ';'
?         (\?) Synonym for `help'.
clear     (\c) Clear the current input statement.
connect   (\r) Reconnect to the server. Optional arguments are db and host.
delimiter (\d) Set statement delimiter.
edit      (\e) Edit command with $EDITOR.
ego       (\G) Send command to mysql server, display result vertically.
exit      (\q) Exit mysql. Same as quit.
go        (\g) Send command to mysql server.
help      (\h) Display this help.
nopager   (\n) Disable pager, print to stdout.
notee     (\t) Don't write into outfile.
pager     (\P) Set PAGER [to_pager]. Print the query results via PAGER.
print     (\p) Print current command.
prompt    (\R) Change your mysql prompt.
quit      (\q) Quit mysql.
rehash    (\#) Rebuild completion hash.
source    (\.) Execute an SQL script file. Takes a file name as an argument.
status    (\s) Get status information from the server.
system    (\!) Execute a system shell command.
tee       (\T) Set outfile [to_outfile]. Append everything into given outfile.
use       (\u) Use another database. Takes database name as argument.
charset   (\C) Switch to another charset. Might be needed for processing binlog with multi-byte charsets.
warnings  (\W) Show warnings after every statement.
nowarning (\w) Don't show warnings after every statement.

For server side help, type 'help contents'

mysql> ALTER TABLE expression2 ADD FOREIGN KEY (sample_id);
ERROR 1064 (42000): You have an error in your SQL syntax; check the manual that corresponds to your MySQL server version for the right syntax to use near '' at line 1
mysql>                                    
